feature	importance
sleep_qual_28d_autocorr_max	0.011062810202859073
sleep_lat_7d_slope_min	0.010839552657013323
sleep_dur_14d_mean_std	0.010621565614753152
hr_3d_slope_max	0.009744259193294833
rmssd_14d_slope_std	0.009436836267399853
rmssd_3d_slope_mean	0.009182310158289696
sleep_dur_7d_cv_min	0.009023974388713916
sleep_dur_3d_std_min	0.008845289852820437
sleep_lat_21d_std_std	0.008440038432038438
sleep_dur_14d_slope_mean	0.007568364544541533
sleep_dur_28d_cv_max	0.007564282372603499
rmssd_5d_slope_max	0.006939472124856963
sleep_dur_3d_cv_mean	0.006878272250703714
sleep_dur_28d_slope_max	0.006775162309865828
sleep_dur_7d_std_min	0.006763792257926835
sleep_dur_21d_slope_mean	0.006755382026689037
sleep_qual_3d_slope_max	0.006731761548422954
sleep_dur_14d_mean_max	0.00670760308917889
sleep_qual_21d_autocorr_max	0.0066345873037344525
rmssd_7d_autocorr_max	0.0065971797340228
sleep_qual_21d_std_std	0.006592056504994685
sleep_dur_28d_std_min	0.006367076863881435
sleep_dur_5d_cv_min	0.006018604142289803
sleep_qual_14d_std_max	0.005682157438440336
sleep_lat_5d_slope_min	0.005653828552817522
sleep_dur_14d_cv_min	0.005608507033154722
sleep_dur_7d_cv_max	0.005429938882604323
sleep_qual_5d_cv_mean	0.005383710174827103
sleep_qual_7d_slope_max	0.005221707179796455
sleep_lat_5d_autocorr_min	0.0051483446942199775
hr_3d_slope_mean	0.0051162182116290585
lfhf_3d_std_mean	0.005048111527145872
sleep_dur_7d_std_mean	0.004990975859819384
sleep_dur_28d_std_mean	0.004890156802505148
hr_7d_std_min	0.0047785338814750585
sleep_qual_3d_cv_max	0.0047669894994816905
sleep_dur_21d_slope_max	0.004726888406557269
sleep_dur_28d_autocorr_mean	0.0046801898874581725
sleep_onset_sd_21d_std	0.004601079181177838
sleep_qual_7d_cv_mean	0.004563961324878149
sleep_dur_3d_cv_min	0.004529217713617093
rmssd_7d_cv_max	0.004503725089517466
lfhf_3d_slope_std	0.004476304256492778
sleep_dur_5d_std_min	0.004475376137462298
sleep_lat_21d_autocorr_std	0.00446313598050013
rmssd_3d_std_min	0.004382451543835926
lfhf_14d_cv_std	0.004306131836456671
lfhf_3d_autocorr_std	0.004254586516513399
rmssd_21d_autocorr_mean	0.004236004500559057
sleep_dur_7d_cv_mean	0.00423484432018443
rmssd_14d_slope_max	0.00415098621269883
sleep_qual_14d_slope_std	0.004139599401337868
rmssd_7d_cv_min	0.00409251501186985
sleep_lat_21d_std_mean	0.003960573476702508
sleep_qual_14d_slope_max	0.00392543565708697
sleep_qual_28d_std_mean	0.003899125738641869
sleep_dur_21d_std_min	0.0038693333485000157
sleep_qual_5d_slope_max	0.0038239089617856216
sleep_dur_3d_std_mean	0.003812162140309714
sleep_dur_14d_cv_mean	0.0038023807902235933
sleep_qual_3d_slope_std	0.003750823608795746
lfhf_7d_cv_mean	0.003740951458984546
sleep_qual_21d_cv_std	0.0037239868547637544
sleep_dur_14d_cv_max	0.0037212384303899042
sleep_dur_3d_slope_min	0.003650333722962548
lfhf_5d_cv_std	0.003626982863049387
sleep_lat_5d_slope_std	0.003624484785939894
sleep_onset_sd_7d_min	0.003584399110210813
