model	feature_set	n_features	auc	accuracy	f1	precision	recall
Logistic Regression + top10_selected	top10_selected	10	0.6875	0.7143	0.5882	0.5882	0.5882
MLP Neural Net + temporal_dynamics	temporal_dynamics	564	0.6765	0.551	0.4762	0.4	0.5882
MLP Neural Net + all_features	all_features	732	0.6728	0.5714	0.5333	0.4286	0.7059
MLP Neural Net + top10_selected	top10_selected	10	0.6636	0.5102	0.5385	0.4	0.8235
Random Forest + sleep_only	sleep_only	368	0.6268	0.5918	0.3333	0.3846	0.2941
Random Forest + temporal_dynamics	temporal_dynamics	564	0.6195	0.6327	0.4	0.4615	0.3529
Random Forest + top10_selected	top10_selected	10	0.6158	0.551	0.3529	0.3529	0.3529
Logistic Regression + top20_selected	top20_selected	20	0.614	0.6531	0.5143	0.5	0.5294
Random Forest + standard_means	standard_means	141	0.6121	0.5918	0.2857	0.3636	0.2353
Random Forest + top20_selected	top20_selected	20	0.6103	0.5714	0.3636	0.375	0.3529
Random Forest + top50_selected	top50_selected	50	0.6011	0.5918	0.4118	0.4118	0.4118
Random Forest + all_features	all_features	732	0.6011	0.6122	0.3871	0.4286	0.3529
MLP Neural Net + standard_means	standard_means	141	0.5993	0.5306	0.439	0.375	0.5294
Logistic Regression + top50_selected	top50_selected	50	0.5901	0.6531	0.5143	0.5	0.5294
MLP Neural Net + top5_selected	top5_selected	5	0.5882	0.5918	0.375	0.4	0.3529
Logistic Regression + standard_means	standard_means	141	0.5864	0.5714	0.4	0.3889	0.4118
MLP Neural Net + sleep_only	sleep_only	368	0.5588	0.6327	0.0	0.0	0.0
Random Forest + hrv_only	hrv_only	360	0.5588	0.5918	0.0909	0.2	0.0588
Logistic Regression + top5_selected	top5_selected	5	0.5478	0.5714	0.3636	0.375	0.3529
Logistic Regression + temporal_dynamics	temporal_dynamics	564	0.5349	0.6122	0.3871	0.4286	0.3529
Gradient Boosting + standard_means	standard_means	141	0.5294	0.5306	0.3429	0.3333	0.3529
Logistic Regression + all_features	all_features	732	0.5239	0.5714	0.3226	0.3571	0.2941
MLP Neural Net + critical_slowing_down	critical_slowing_down	96	0.5165	0.6122	0.0952	0.25	0.0588
Gradient Boosting + top10_selected	top10_selected	10	0.5165	0.5918	0.375	0.4	0.3529
Logistic Regression + hrv_only	hrv_only	360	0.5	0.5918	0.4118	0.4118	0.4118
Random Forest + critical_slowing_down	critical_slowing_down	96	0.4835	0.5918	0.0909	0.2	0.0588
Logistic Regression + sleep_only	sleep_only	368	0.4743	0.5102	0.2941	0.2941	0.2941
Gradient Boosting + top5_selected	top5_selected	5	0.4743	0.5306	0.303	0.3125	0.2941
Random Forest + top5_selected	top5_selected	5	0.4724	0.5102	0.25	0.2667	0.2353
MLP Neural Net + top20_selected	top20_selected	20	0.4669	0.449	0.4906	0.3611	0.7647
Gradient Boosting + hrv_only	hrv_only	360	0.4522	0.5918	0.2857	0.3636	0.2353
MLP Neural Net + hrv_only	hrv_only	360	0.4522	0.5714	0.3226	0.3571	0.2941
Logistic Regression + critical_slowing_down	critical_slowing_down	96	0.443	0.5102	0.3333	0.3158	0.3529
Gradient Boosting + top20_selected	top20_selected	20	0.4246	0.5714	0.3636	0.375	0.3529
MLP Neural Net + top50_selected	top50_selected	50	0.4026	0.3265	0.3774	0.2778	0.5882
Gradient Boosting + top50_selected	top50_selected	50	0.3805	0.5102	0.2941	0.2941	0.2941
Gradient Boosting + sleep_only	sleep_only	368	0.3235	0.4694	0.1333	0.1538	0.1176
Gradient Boosting + all_features	all_features	732	0.3015	0.3673	0.1622	0.15	0.1765
Gradient Boosting + critical_slowing_down	critical_slowing_down	96	0.296	0.4286	0.125	0.1333	0.1176
Gradient Boosting + temporal_dynamics	temporal_dynamics	564	0.296	0.3878	0.1176	0.1176	0.1176
